Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Thermosensibilité (MWh/degré-jour);Part Thermosensible;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code IRIS;Libellé IRIS;Code Commune;Libellé Commune;Code EPCI;Libellé EPCI;Code Département;Libellé Département;Code Région;Libellé Région;id_filiere;Consommation Totale (MWh)
Enedis;2019;Electricité;0.0;0;0;0.0;1331.01507528264;8;0;0.455;12146.8860234947;302;0;0.509;2800.1633503637;787;0;0.353;0.509290173;30.5;327.538839037547;51;0;0.483;751010101;Saint-Germain l'Auxerrois 1;75101;Paris 1er Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;16605.603288178587
Enedis;2019;Electricité;0.0;0;0;0.0;1423.30296242599;5;0;0.88;5823.92793574935;102;0;0.536;854.880875858951;242;0;0.421;0.0;0.0;65.2795228634966;16;0;0.406;751010103;Saint-Germain l'Auxerrois 3;75101;Paris 1er Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;8167.3912968977875
Enedis;2019;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;49793.072830597;48;0;0.684;0.0;0;0;0.0;0.0;0.0;153.165672422319;9;0;0.396;751010104;Saint-Germain l'Auxerrois 4;75101;Paris 1er Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;49946.23850301932
Enedis;2019;Electricité;0.0;0;1;0.0;8457.58751287291;9;0;0.621;19050.7404201957;653;0;0.426;6836.44747972503;1958;0;0.367;1.295665143;31.8;1630.35524317535;127;0;0.308;751010201;Les Halles 1;75101;Paris 1er Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;35975.130655968984
Enedis;2019;Electricité;0.0;0;0;0.0;417.140408444145;24;0;0.375;25413.9871374448;536;0;0.443;5521.48640535752;1496;0;0.4;1.046593096;31.8;735.627958741678;67;0;0.37;751010204;Les Halles 4;75101;Paris 1er Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;32088.241909988144
Enedis;2019;Electricité;0.0;0;0;0.0;744.709633256906;43;0;0.373;38556.916393222;1289;0;0.444;8328.3491725142;2411;0;0.323;1.291421354;26.0;1737.22238866208;221;0;0.35;751010301;Palais Royal 1;75101;Paris 1er Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;49367.19758765519
Enedis;2019;Electricité;0.0;0;0;0.0;37.2743333014165;1;1;0.867;9584.96476694918;60;0;0.441;321.671590770686;95;0;0.39;0.0;0.0;52.5341573652595;3;0;0.226;751010302;Palais Royal 2;75101;Paris 1er Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;9996.444848386544
Enedis;2019;Electricité;0.0;0;0;0.0;148.228421934669;2;1;0.83;14088.1543813344;167;0;0.409;818.217958108634;215;0;0.321;0.0;0.0;267.89512475437;37;0;0.118;751010303;Palais Royal 3;75101;Paris 1er Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;15322.495886132074
Enedis;2019;Electricité;0.0;0;1;0.0;877.256707340827;46;0;0.458;36021.4519212219;673;0;0.433;4419.03710915713;1123;0;0.337;0.739731845;28.0;780.197052834666;109;0;0.434;751010401;Place Vendôme 1;75101;Paris 1er Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;42097.94279055452
Enedis;2019;Electricité;0.0;0;0;0.0;1482.52784302606;48;0;0.531;29808.909853608;485;0;0.57;809.801205651276;295;0;0.542;0.0;0.0;849.379570910317;74;0;0.335;751020502;Gaillon 2;75102;Paris 2e Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;32950.618473195645
Enedis;2019;Electricité;0.0;0;1;0.0;1041.26790142323;43;0;0.337;18286.019391386;716;0;0.395;5353.78204831183;1514;0;0.35;0.87966351;27.5;956.174331351342;98;0;0.292;751020702;Mail 2;75102;Paris 2e Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;25637.243672472403
Enedis;2019;Electricité;0.0;0;0;0.0;451.350981337831;12;0;0.516;13648.2253437361;360;0;0.449;1601.81218733598;425;0;0.31;0.0;0.0;397.182141370977;33;0;0.409;751020704;Mail 4;75102;Paris 2e Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;16098.570653780887
Enedis;2019;Electricité;0.0;0;0;0.0;725.429692534848;36;0;0.409;6963.8954257234;351;0;0.391;5905.96445616691;1596;0;0.312;1.143279591;32.4;609.555008464993;66;0;0.305;751020803;Bonne Nouvelle 3;75102;Paris 2e Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;14204.844582890151
Enedis;2019;Electricité;0.0;0;0;0.0;835.652060839391;38;0;0.522;5536.47171893522;389;0;0.438;5103.20121754298;1494;0;0.477;0.972448595;31.9;436.921982095889;51;0;0.403;751031002;Enfants Rouges 2;75103;Paris 3e Arrondissement;200054781;Métropole du Grand Paris;75;Paris;11;Île-de-France;100;11912.246979413481
